code_system,source_code,ucum,low,high,basis
SOURCE,Blood Pressure systolic,mm[Hg],0,300,"omr Blood Pressure, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report."
SOURCE,Blood Pressure diastolic,mm[Hg],0,250,"omr Blood Pressure, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains."
SOURCE,Blood Pressure Sitting systolic,mm[Hg],0,300,"omr Blood Pressure Sitting, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report."
SOURCE,Blood Pressure Sitting diastolic,mm[Hg],0,250,"omr Blood Pressure Sitting, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains."
SOURCE,Blood Pressure Standing systolic,mm[Hg],0,300,"omr Blood Pressure Standing, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report."
SOURCE,Blood Pressure Standing diastolic,mm[Hg],0,250,"omr Blood Pressure Standing, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains."
SOURCE,Blood Pressure Standing (1 min) systolic,mm[Hg],0,300,"omr Blood Pressure Standing (1 min), divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report."
SOURCE,Blood Pressure Standing (1 min) diastolic,mm[Hg],0,250,"omr Blood Pressure Standing (1 min), divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains."
SOURCE,Blood Pressure Standing (3 mins) systolic,mm[Hg],0,300,"omr Blood Pressure Standing (3 mins), divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report."
SOURCE,Blood Pressure Standing (3 mins) diastolic,mm[Hg],0,250,"omr Blood Pressure Standing (3 mins), divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains."
SOURCE,Blood Pressure Lying systolic,mm[Hg],0,300,"omr Blood Pressure Lying, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report."
SOURCE,Blood Pressure Lying diastolic,mm[Hg],0,250,"omr Blood Pressure Lying, divided into its two measurements by the preparation. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains."
